score,Borough,Largest Property Use Type,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Water Intensity (All Water Sources) (gal/ft²),log_Direct GHG Emissions (Metric Tons CO2e),log_Water Intensity (All Water Sources) (gal/ft²)
1,Bronx,Non-Refrigerated Warehouse,98000,1967,1,100,86.4,20.8,0.2,,4.314817885,
100,Manhattan,Hotel,1721672,1970,1,100,4.8,0.6,0,,5.566434284,
57,Brooklyn,Non-Refrigerated Warehouse,83600,1971,1,100,52.2,2.3,0.5,,5.511410582,
80,Queens,Multifamily Housing,57551,2012,1,100,64.8,2.5,0.6,,5.172187089,
37,Bronx,Multifamily Housing,53550,1996,1,100,88.1,5,0.7,,5.302807272,
56,Manhattan,Multifamily Housing,58905,2012,1,100,63.7,8.1,0.4,,4.407938016,
84,Bronx,Multifamily Housing,51250,1928,1,100,66.5,3.1,0.1,,5.283711214,
62,Bronx,Multifamily Housing,58000,1941,1,100,75.3,4.3,0,,5.548297572,
24,Brooklyn,Multifamily Housing,50400,1925,1,100,100,3.4,0.9,,5.485626465,
84,Bronx,Multifamily Housing,56000,1926,1,100,80.7,4.6,0.7,70.93,5.265277512,4.261693475
97,Brooklyn,Multifamily Housing,169423,2010,1,100,24.2,7.1,,,,
78,Brooklyn,K-12 School,52903,1962,1,100,63.8,6.1,0.4,,5.046002438,
63,Manhattan,Multifamily Housing,84000,1959,1,90,52.8,10,0.2,82.06,4.443827036,4.407450687
22,Manhattan,Multifamily Housing,137136,1961,1,90,112.6,4.5,0.3,,5.292299294,
91,Brooklyn,K-12 School,111517,2013,1,95,45.1,6.1,0.2,,5.091908014,
57,Manhattan,Hotel,55411,2014,1,100,104.1,19.1,,,4.76046307,
73,Brooklyn,K-12 School,98632,2014,1,100,57.9,5.9,0.4,0.96,5.512621969,-0.040821995
94,Queens,Multifamily Housing,149804,1961,3,85,27.5,7.8,,,,
64,Queens,Non-Refrigerated Warehouse,70700,1969,1,100,30.5,5.5,0.1,7.36,3.953164949,1.996059933
69,Bronx,Multifamily Housing,97013,1981,1,100,71,4.5,0.6,,5.643678551,
3,Bronx,Multifamily Housing,90600,1931,1,100,164.6,5.8,0.1,,6.884793667,
99,Queens,Multifamily Housing,53197,2014,1,100,38.2,3.1,0.3,,4.369447852,
